province,fire_id,latitude,longitude,year,size_ha,cause
Northwest Territories,FS029-15,62.518,-121.671166,2015,2482.1,Natural
Northwest Territories,2015NC1,62.538,-128.855,2015,200.0,Natural
Northwest Territories,2015NA2,61.5119,-123.9371,2015,12210.0,Natural
Northwest Territories,FS028-15,60.256166,-119.685333,2015,14406.1,Natural
Northwest Territories,SS020-15,61.510666,-116.707666,2015,398.72,Natural
British Columbia,2015-G90180,59.5177,-127.8654,2015,35327.7,Natural
British Columbia,2015-G90195,59.4319,-121.1673,2015,946.7,Natural
British Columbia,2015-G80163,57.9607,-121.5093,2015,905.0,Natural
Saskatchewan,15DB-HERMAN,54.333333,-103.883333,2015,4452.746659,Natural
Saskatchewan,15BN-RON,56.85,-108.233333,2015,245236.6182,Natural
Yukon,2015RR005,63.286533,-131.2846,2015,1550.0,Natural
Yukon,2015MA011,63.1275,-136.326667,2015,4646.0,Natural
Yukon,2015RR002,61.996767,-130.5111,2015,1200.0,Natural
Northwest Territories,FS026-15,62.0615,-123.889166,2015,2905.0,Natural
Northwest Territories,FS027-15,60.815833,-124.163333,2015,2031.3,Natural
Northwest Territories,FS024-15,61.205166,-119.379666,2015,1012.0,Natural
Ontario,RED7,51.341,-94.2985,2015,1256.0,Natural
Ontario,RED10,51.6116,-94.2196,2015,650.0,Natural
British Columbia,2015-G90175,58.96,-124.2968,2015,18070.6,Natural
British Columbia,2015-G80127,57.6178,-121.1905,2015,545.0,Natural
Alberta,HWF127,57.54835,-116.1527,2015,3852.1,Natural
Alberta,PWF052,57.2144,-119.183233,2015,841.4,Natural
Alberta,MWF025,56.761633,-112.958717,2015,406.1,Natural
Alberta,HWF132,57.511167,-117.003333,2015,1261.6,Natural
Alberta,LWF125,55.829167,-111.045833,2015,500.0,Human
Alberta,LWF126,55.828312,-110.984887,2015,2130.8,Human
Manitoba,NW005,55.127222,-101.09,2015,402.4,Human
Manitoba,NW006,54.063889,-100.78,2015,410.0,Human
Yukon,2015MA010,63.488133,-134.757583,2015,3530.0,Natural
Yukon,2015RR001,62.433333,-130.716667,2015,600.0,Natural
Yukon,2015WL010,61.256667,-129.258333,2015,780.0,Natural
Northwest Territories,SS008-15,60.2035,-118.1565,2015,1179.03,Natural
Northwest Territories,2015NA3,61.9434,-126.6705,2015,17299.0,Natural
Northwest Territories,2015NA1,61.2029,-126.3667,2015,39924.0,Natural
Alberta,2015WB4,58.6368,-113.3121,2015,214381.4,Natural
British Columbia,2015-G90194,59.5636,-125.28,2015,305.8,Natural
Alberta,EWF039,53.8575,-116.9171,2015,678.0,Human
Saskatchewan,15LF-RIDGE,53.6387,-105.397933,2015,2631.746523,Natural
Yukon,2015MA008,64.145417,-134.75425,2015,650.0,Natural
Yukon,2015BC002,62.846017,-138.622167,2015,342.0,Natural
Yukon,2015DA011,63.159667,-139.00655,2015,17169.0,Natural
Yukon,2015MA005,63.294117,-133.770217,2015,2000.0,Natural
Northwest Territories,FS018-15,62.259333,-122.1215,2015,18705.6,Natural
Northwest Territories,FS023-15,62.437333,-121.714833,2015,710.7,Natural
Northwest Territories,FS022-15,62.040166,-120.205,2015,2714.4,Natural
Northwest Territories,FS019-15,61.7715,-122.659666,2015,1126.5,Natural
Northwest Territories,FS021-15,60.894166,-122.360166,2015,12660.8,Natural
Alberta,SWF066,56.13475,-113.819167,2015,208.7,Human
Yukon,2015DA008,63.7909,-140.196983,2015,748.6,Natural
Yukon,2015BC001,62.7073,-138.758417,2015,1583.0,Natural
Northwest Territories,FS012-15,62.853166,-124.848333,2015,680.9,Natural
Northwest Territories,FS011-15,62.658333,-124.7085,2015,907.7,Natural
Northwest Territories,FS015-15,60.106833,-120.940833,2015,3482.6,Natural
Northwest Territories,FS014-15,60.754666,-120.707666,2015,679.0,Natural
British Columbia,2015-R90047,59.2623,-132.4499,2015,4070.0,Natural
British Columbia,2015-G90176,59.0781,-120.0253,2015,393.8,Natural
British Columbia,2015-R90046,58.7898,-133.1703,2015,8743.0,Natural
Alberta,HWF111,59.069167,-119.945833,2015,3521.3,Natural
Alberta,LWF122,54.807133,-110.364883,2015,31997.0,Human
Saskatchewan,15LF-TORCH,53.524167,-104.066167,2015,1317.200704,Human
Yukon,2015WL005,61.463333,-129.997833,2015,1000.0,Natural
Yukon,2015WL004,60.349317,-125.223333,2015,5881.0,Natural
Yukon,2015XY006,61.197667,-134.594333,2015,4127.0,Natural
Northwest Territories,VQ004-15,65.040833,-127.194,2015,3712.7,Natural
Northwest Territories,VQ006-15,64.26,-126.668166,2015,708.2,Natural
Northwest Territories,VQ003-15,63.71,-125.58,2015,1140.0,Natural
Northwest Territories,VQ005-15,63.297,-126.205,2015,3094.3,Natural
Northwest Territories,ZF002-15,62.373333,-116.143333,2015,51251.61,Natural
British Columbia,2015-V30160,50.3775,-123.5557,2015,12495.0,Natural
British Columbia,2015-R90045,59.4918,-128.578,2015,15000.0,Natural
British Columbia,2015-G60214,58.223,-126.869,2015,12845.0,Natural
Saskatchewan,15DN-DIVIDE,53.721667,-108.713,2015,516.829148,Human
Manitoba,WE012,52.815833,-100.673611,2015,277.8,Human
Yukon,2015WL001,60.572333,-129.740917,2015,8300.0,Natural
Northwest Territories,FS005-15,62.970666,-124.283333,2015,2714.3,Natural
Northwest Territories,FS004-15,62.418666,-123.735333,2015,9984.0,Natural
Northwest Territories,FS008-15,63.5,-121.333333,2015,1437.1,Natural
Northwest Territories,FS006-15,63.558333,-122.25,2015,7002.0,Natural
Northwest Territories,FS010-15,62.866666,-120.866666,2015,1796.1,Natural
British Columbia,2015-G90081,58.065,-122.4683,2015,1966.8,Natural
Saskatchewan,15LA-PINE,55.394541,-106.57223,2015,1046.302551,Human
Alberta,SWF055,56.2115,-115.314167,2015,255.3,Human
Saskatchewan,15BN-DAVID,56.26775,-109.8,2015,34680.46811,Human
Yukon,2015DA004,65.84965,-138.144967,2015,5000.0,Natural
Yukon,2015DA005,65.863033,-138.0799,2015,200.0,Natural
Northwest Territories,FS002-15,63.237333,-124.185333,2015,7889.0,Natural
British Columbia,2015-R90039,58.8242,-132.9268,2015,700.0,Natural
Saskatchewan,15SR-BLIB01,59.163467,-105.5713,2015,651.679611,Human
Saskatchewan,15WY-LRIR08,53.50105,-105.8725,2015,314.0,Human
Northwest Territories,2015WB2,60.4777,-114.0821,2015,496.0,Unknown
British Columbia,2015-G90347,59.3511,-125.6095,2015,343.4,Human
Alberta,EWF015,53.158733,-115.4012,2015,747.7,Human
Saskatchewan,15PA-SLIR05,53.398383,-106.04305,2015,246.184473,Human
British Columbia,2015-G10037,53.6909,-123.4334,2015,25000.0,Human
Manitoba,CE026,51.363056,-97.468333,2015,693.7,Human
British Columbia,2015-G40064,53.5411,-123.7532,2015,420.0,Natural
Northwest Territories,SS010-15,60.870333,-112.2665,2015,42088.7,Natural
Northwest Territories,SS004-15,61.35,-116.716,2015,411.44,Natural
Northwest Territories,SS007-15,61.699333,-117.638,2015,1314.5,Natural
Saskatchewan,15BN-HENRY,55.885567,-109.114033,2015,757.691707,Human
Saskatchewan,15HB-VEILLAR,52.9006,-102.56055,2015,379.496375,Human
Alberta,SWF030,55.390133,-115.82015,2015,209.6,Human
Manitoba,EA012,50.070278,-96.088056,2015,367.0,Human
Manitoba,CE008,51.89,-99.8,2015,416.0,Human
Ontario,KEN5,50.2417,-94.9613,2015,259.5,Human
