province,fire_id,latitude,longitude,year,size_ha,cause,size
Alberta,EWF077,53.35965,-117.349633,2018,1065.27,Natural,Very small
Saskatchewan,18LA-POW,56.40675,-105.7862,2018,583.0,Natural,Very small
Manitoba,MB2018NE104,53.45055556,-96.19,2018,2292.3,Natural,Very small
Manitoba,MB2018NE101,52.91833333,-95.08805556,2018,2727.0,Natural,Very small
Quebec,20181080312,52.6694,-70.0567,2018,3400.0,Natural,Very small
Alberta,HWF162,58.0136,-114.221217,2018,298.0,Natural,Very small
Manitoba,MB2018NE095,54.09583333,-95.06388889,2018,325.9,Natural,Very small
Quebec,20181080261,49.2291,-69.8396,2018,12985.0,Human,Very small
Ontario,SLK44,52.0448,-89.0173,2018,3684.300049,Natural,Very small
Ontario,NIP20,52.5153,-87.6402,2018,8908.700195,Natural,Very small
Ontario,NIP16,51.8114,-87.9029,2018,1358.099976,Natural,Very small
Saskatchewan,18BN-FRISCO,57.4526,-109.103633,2018,2907.9,Natural,Very small
Saskatchewan,18SR-CORSON,58.79345,-103.769617,2018,1460.0,Natural,Very small
Saskatchewan,18LX-PORTER,56.707433,-106.64175,2018,322.7,Natural,Very small
Manitoba,MB2018NE085,56.16888889,-97.03027778,2018,1272.3,Natural,Very small
Manitoba,MB2018EA079,52.68611111,-96.53333333,2018,2057.0,Natural,Very small
British Columbia,2018-G90866,59.5539,-123.8226,2018,260.8,Natural,Very small
Alberta,SWF094,56.960433,-113.099793,2018,6200.0,Natural,Very small
Saskatchewan,18BN-KAYLE,56.415583,-109.869517,2018,3100.0,Natural,Very small
Saskatchewan,18BN-LARRY,56.399033,-109.8957,2018,8826.0,Natural,Very small
Saskatchewan,18BN-BRIAN,56.51955,-109.780467,2018,250.0,Natural,Very small
Saskatchewan,18BN-GRAHAM,55.908017,-109.846483,2018,496.0,Natural,Very small
Manitoba,MB2018NE072,56.65833333,-100.7763889,2018,5236.4,Natural,Very small
Manitoba,MB2018NE071,55.48944444,-93.56611111,2018,2497.0,Natural,Very small
Yukon,2018WL004,60.53873333,-126.8524667,2018,800.0,Natural,Very small
Yukon,2018WL003,60.86384999,-129.2294,2018,389.0,Natural,Very small
Alberta,HWF137,59.5909,-119.2651,2018,4374.9,Natural,Very small
Saskatchewan,18SR-FONTAINE,59.682203,-106.482502,2018,272.0,Natural,Very small
Saskatchewan,18LA-WALKER,57.105717,-104.983317,2018,1879.0,Natural,Very small
Saskatchewan,18LX-TIMSON,57.823933,-106.514667,2018,4832.0,Natural,Very small
Yukon,2018RR001,62.97884999,-133.9293834,2018,7500.0,Natural,Very small
Ontario,RED78,51.3043,-94.9721,2018,200.3000031,Natural,Very small
British Columbia,2018-G90763,59.5337,-120.4118,2018,3604.3,Natural,Very small
British Columbia,2018-G80883,57.9106,-120.9547,2018,318.0,Natural,Very small
British Columbia,2018-G80950,57.651,-120.805,2018,338.0,Natural,Very small
British Columbia,2018-G10696,53.4449,-124.0255,2018,2245.2,Natural,Very small
Saskatchewan,18DB-MADDEN,55.479283,-103.557117,2018,454.3,Natural,Very small
Yukon,2018WL002,61.15029999,-128.2992167,2018,5989.0,Natural,Very small
Ontario,SLK27,52.6072,-89.5542,2018,4527.899902,Natural,Very small
British Columbia,2018-G50614,55.0737,-125.0086,2018,1055.0,Natural,Very small
British Columbia,2018-G40639,53.9947,-124.8163,2018,240.0,Natural,Very small
Saskatchewan,18LA-BELL,57.321117,-103.425233,2018,954.0,Natural,Very small
Ontario,RED55,52.8741,-94.8951,2018,9396.599609,Natural,Very small
Ontario,RED57,52.7994,-94.7258,2018,590.5,Natural,Very small
Manitoba,MB2018NE065,56.01777778,-94.67444444,2018,358.0,Natural,Very small
Ontario,NIP13,51.9493,-87.5449,2018,582.2999878,Natural,Very small
Saskatchewan,18LX-ARTHUR,57.7466,-104.999633,2018,8905.0,Natural,Very small
Saskatchewan,18LA-KINDRA,57.573133,-104.594167,2018,1313.9,Natural,Very small
Saskatchewan,18LA-KEEFE,57.605283,-104.580917,2018,253.3,Natural,Very small
Saskatchewan,18LA-WOODS,56.2152,-103.3376,2018,9382.9,Natural,Very small
Saskatchewan,18LF-BORDER,54.07795,-105.527733,2018,393.0,Natural,Very small
